source,date,count
bloomberg,2007-02-15,2
bloomberg,2007-02-16,3
bloomberg,2007-02-20,1
bloomberg,2007-02-21,1
bloomberg,2007-02-22,1
bloomberg,2007-02-23,1
bloomberg,2007-02-27,5
bloomberg,2007-02-28,2
bloomberg,2007-03-01,1
bloomberg,2007-03-02,2
bloomberg,2007-03-05,2
bloomberg,2007-03-06,2
bloomberg,2007-03-07,3
bloomberg,2007-03-08,7
bloomberg,2007-03-09,1
bloomberg,2007-03-12,2
bloomberg,2007-03-13,1
bloomberg,2007-03-14,1
bloomberg,2007-03-15,6
bloomberg,2007-03-16,1
bloomberg,2007-03-18,1
bloomberg,2007-03-19,1
bloomberg,2007-03-20,2
bloomberg,2007-03-21,5
bloomberg,2007-03-22,4
bloomberg,2007-03-23,1
bloomberg,2007-03-26,3
bloomberg,2007-03-27,2
bloomberg,2007-03-28,2
bloomberg,2007-03-29,7
bloomberg,2007-03-30,3
bloomberg,2007-04-02,1
bloomberg,2007-04-03,2
bloomberg,2007-04-04,2
bloomberg,2007-04-05,2
bloomberg,2007-04-06,1
bloomberg,2007-04-11,3
bloomberg,2007-04-12,2
bloomberg,2007-04-13,1
bloomberg,2007-04-16,1
bloomberg,2007-04-17,6
bloomberg,2007-04-18,4
bloomberg,2007-04-21,1
bloomberg,2007-04-23,2
bloomberg,2007-04-24,3
bloomberg,2007-04-25,2
bloomberg,2007-04-26,1
bloomberg,2007-04-27,4
bloomberg,2007-05-01,1
bloomberg,2007-05-02,1
bloomberg,2007-05-03,4
bloomberg,2007-05-04,2
bloomberg,2007-05-07,3
bloomberg,2007-05-08,1
bloomberg,2007-05-09,3
bloomberg,2007-05-11,1
bloomberg,2007-05-13,1
bloomberg,2007-05-14,1
bloomberg,2007-05-15,1
bloomberg,2007-05-16,1
bloomberg,2007-05-17,3
bloomberg,2007-05-18,2
bloomberg,2007-05-21,1
bloomberg,2007-05-23,2
bloomberg,2007-05-24,6
bloomberg,2007-05-25,2
bloomberg,2007-05-28,1
bloomberg,2007-05-29,4
bloomberg,2007-05-30,2
bloomberg,2007-05-31,5
bloomberg,2007-06-01,3
bloomberg,2007-06-04,2
bloomberg,2007-06-05,2
bloomberg,2007-06-07,1
bloomberg,2007-06-08,1
bloomberg,2007-06-10,1
bloomberg,2007-06-11,4
bloomberg,2007-06-12,1
bloomberg,2007-06-14,3
bloomberg,2007-06-16,1
bloomberg,2007-06-17,1
bloomberg,2007-06-19,1
bloomberg,2007-06-20,4
bloomberg,2007-06-21,5
bloomberg,2007-06-22,3
bloomberg,2007-06-23,1
bloomberg,2007-06-26,1
bloomberg,2007-06-27,2
bloomberg,2007-06-29,2
bloomberg,2007-07-02,1
bloomberg,2007-07-03,1
bloomberg,2007-07-06,1
bloomberg,2007-07-09,1
bloomberg,2007-07-10,2
bloomberg,2007-07-11,1
bloomberg,2007-07-12,2
bloomberg,2007-07-13,2
bloomberg,2007-07-14,1
bloomberg,2007-07-16,1
bloomberg,2007-07-17,1
bloomberg,2007-07-18,2
bloomberg,2007-07-20,7
bloomberg,2007-07-23,1
bloomberg,2007-07-24,4
bloomberg,2007-07-25,1
bloomberg,2007-07-26,2
bloomberg,2007-07-27,2
bloomberg,2007-07-31,2
bloomberg,2007-08-01,1
bloomberg,2007-08-02,5
bloomberg,2007-08-03,3
bloomberg,2007-08-06,1
bloomberg,2007-08-07,1
bloomberg,2007-08-09,4
bloomberg,2007-08-10,3
bloomberg,2007-08-13,3
bloomberg,2007-08-14,2
bloomberg,2007-08-16,2
bloomberg,2007-08-17,3
bloomberg,2007-08-20,2
bloomberg,2007-08-21,1
bloomberg,2007-08-23,1
bloomberg,2007-08-24,2
bloomberg,2007-08-26,1
bloomberg,2007-08-27,4
bloomberg,2007-08-28,2
bloomberg,2007-08-30,1
bloomberg,2007-08-31,1
bloomberg,2007-09-03,3
bloomberg,2007-09-04,3
bloomberg,2007-09-05,2
bloomberg,2007-09-06,1
bloomberg,2007-09-07,2
bloomberg,2007-09-10,1
bloomberg,2007-09-11,3
bloomberg,2007-09-12,4
bloomberg,2007-09-13,3
bloomberg,2007-09-14,2
bloomberg,2007-09-17,1
bloomberg,2007-09-18,1
bloomberg,2007-09-19,3
bloomberg,2007-09-20,4
bloomberg,2007-09-21,1
bloomberg,2007-09-24,2
bloomberg,2007-09-26,2
bloomberg,2007-09-27,2
bloomberg,2007-09-28,2
bloomberg,2007-10-02,1
bloomberg,2007-10-03,3
bloomberg,2007-10-04,3
bloomberg,2007-10-08,1
bloomberg,2007-10-09,3
bloomberg,2007-10-11,2
bloomberg,2007-10-12,2
bloomberg,2007-10-15,1
bloomberg,2007-10-16,6
bloomberg,2007-10-17,2
bloomberg,2007-10-18,2
bloomberg,2007-10-19,4
bloomberg,2007-10-22,3
bloomberg,2007-10-23,2
bloomberg,2007-10-25,2
bloomberg,2007-10-27,1
bloomberg,2007-10-30,1
bloomberg,2007-11-01,6
bloomberg,2007-11-02,1
bloomberg,2007-11-05,3
bloomberg,2007-11-06,4
bloomberg,2007-11-07,3
bloomberg,2007-11-08,2
bloomberg,2007-11-09,2
bloomberg,2007-11-12,3
bloomberg,2007-11-13,2
bloomberg,2007-11-14,1
bloomberg,2007-11-15,3
bloomberg,2007-11-16,1
bloomberg,2007-11-19,5
bloomberg,2007-11-20,1
bloomberg,2007-11-23,1
bloomberg,2007-11-26,2
bloomberg,2007-11-27,2
bloomberg,2007-11-28,1
bloomberg,2007-11-29,4
bloomberg,2007-11-30,2
bloomberg,2007-12-04,2
bloomberg,2007-12-05,2
bloomberg,2007-12-06,2
bloomberg,2007-12-07,2
bloomberg,2007-12-08,1
bloomberg,2007-12-10,1
bloomberg,2007-12-11,1
bloomberg,2007-12-12,1
bloomberg,2007-12-13,2
bloomberg,2007-12-14,2
bloomberg,2007-12-17,2
bloomberg,2007-12-18,1
bloomberg,2007-12-20,1
bloomberg,2007-12-21,1
bloomberg,2007-12-26,1
bloomberg,2007-12-27,2
bloomberg,2007-12-28,2
bloomberg,2007-12-31,1
bloomberg,2008-01-02,1
bloomberg,2008-01-03,1
bloomberg,2008-01-04,2
bloomberg,2008-01-07,1
bloomberg,2008-01-08,1
bloomberg,2008-01-11,1
bloomberg,2008-01-14,1
bloomberg,2008-01-15,1
bloomberg,2008-01-16,3
bloomberg,2008-01-17,1
bloomberg,2008-01-18,3
bloomberg,2008-01-19,1
bloomberg,2008-01-20,1
bloomberg,2008-01-21,1
bloomberg,2008-01-22,4
bloomberg,2008-01-23,4
bloomberg,2008-01-24,5
bloomberg,2008-01-25,3
bloomberg,2008-01-29,1
bloomberg,2008-01-30,1
bloomberg,2008-01-31,4
bloomberg,2008-02-01,2
bloomberg,2008-02-04,1
bloomberg,2008-02-05,2
bloomberg,2008-02-06,2
bloomberg,2008-02-07,3
bloomberg,2008-02-11,2
bloomberg,2008-02-12,1
bloomberg,2008-02-13,4
bloomberg,2008-02-14,3
bloomberg,2008-02-15,1
bloomberg,2008-02-18,2
bloomberg,2008-02-19,3
bloomberg,2008-02-20,3
bloomberg,2008-02-21,1
bloomberg,2008-02-22,2
bloomberg,2008-02-25,2
bloomberg,2008-02-26,3
bloomberg,2008-02-27,6
bloomberg,2008-02-28,5
bloomberg,2008-02-29,4
bloomberg,2008-03-03,2
bloomberg,2008-03-04,2
bloomberg,2008-03-05,4
bloomberg,2008-03-06,2
bloomberg,2008-03-07,4
bloomberg,2008-03-09,1
bloomberg,2008-03-12,1
bloomberg,2008-03-14,2
bloomberg,2008-03-17,1
bloomberg,2008-03-18,1
bloomberg,2008-03-19,1
bloomberg,2008-03-20,2
bloomberg,2008-03-21,1
bloomberg,2008-03-24,1
bloomberg,2008-03-25,2
bloomberg,2008-03-26,1
bloomberg,2008-03-28,1
bloomberg,2008-03-31,1
bloomberg,2008-04-01,2
bloomberg,2008-04-03,3
bloomberg,2008-04-07,1
bloomberg,2008-04-08,2
bloomberg,2008-04-14,4
bloomberg,2008-04-15,2
bloomberg,2008-04-17,1
bloomberg,2008-04-18,4
bloomberg,2008-04-21,4
bloomberg,2008-04-22,1
bloomberg,2008-04-23,4
bloomberg,2008-04-25,3
bloomberg,2008-04-26,1
bloomberg,2008-04-27,1
bloomberg,2008-04-28,3
bloomberg,2008-04-29,4
bloomberg,2008-04-30,3
bloomberg,2008-05-01,1
bloomberg,2008-05-02,1
bloomberg,2008-05-05,1
bloomberg,2008-05-07,1
bloomberg,2008-05-08,3
bloomberg,2008-05-09,1
bloomberg,2008-05-12,2
bloomberg,2008-05-13,1
bloomberg,2008-05-15,1
bloomberg,2008-05-20,1
bloomberg,2008-05-29,1
bloomberg,2008-05-30,1
bloomberg,2008-06-04,3
bloomberg,2008-06-10,1
bloomberg,2008-06-11,1
bloomberg,2008-06-27,1
bloomberg,2008-08-06,1
bloomberg,2008-08-13,2
bloomberg,2008-08-27,1
bloomberg,2008-09-05,1
bloomberg,2008-09-08,1
bloomberg,2008-09-09,1
bloomberg,2008-09-10,1
bloomberg,2008-09-12,1
bloomberg,2008-09-25,1
bloomberg,2008-09-29,1
bloomberg,2008-09-30,1
bloomberg,2008-10-01,1
bloomberg,2008-10-02,1
bloomberg,2008-10-03,1
bloomberg,2008-10-08,1
bloomberg,2008-10-09,1
bloomberg,2008-10-15,1
bloomberg,2008-10-21,2
bloomberg,2008-10-22,1
bloomberg,2008-10-28,1
bloomberg,2008-11-05,1
bloomberg,2008-11-06,1
bloomberg,2008-11-12,2
bloomberg,2008-11-17,1
bloomberg,2008-11-20,3
bloomberg,2008-11-21,1
bloomberg,2008-11-25,1
bloomberg,2008-11-26,1
bloomberg,2008-11-28,1
bloomberg,2008-12-01,1
bloomberg,2008-12-04,1
bloomberg,2008-12-08,1
bloomberg,2008-12-10,2
bloomberg,2008-12-12,1
bloomberg,2008-12-15,2
bloomberg,2008-12-23,2
bloomberg,2008-12-29,1
bloomberg,2009-01-02,1
bloomberg,2009-01-05,2
bloomberg,2009-01-06,2
bloomberg,2009-01-07,1
bloomberg,2009-01-09,3
bloomberg,2009-01-10,1
bloomberg,2009-01-12,1
bloomberg,2009-01-14,1
bloomberg,2009-01-17,2
bloomberg,2009-01-20,3
bloomberg,2009-01-21,1
bloomberg,2009-01-22,1
bloomberg,2009-01-24,1
bloomberg,2009-01-26,2
bloomberg,2009-01-30,1
bloomberg,2009-02-01,1
bloomberg,2009-02-03,1
bloomberg,2009-02-06,1
bloomberg,2009-02-11,1
bloomberg,2009-02-16,1
bloomberg,2009-02-17,1
bloomberg,2009-02-18,1
bloomberg,2009-02-19,1
bloomberg,2009-02-20,1
bloomberg,2009-02-23,2
bloomberg,2009-02-24,1
bloomberg,2009-02-25,3
bloomberg,2009-02-26,2
bloomberg,2009-03-03,1
bloomberg,2009-03-04,1
bloomberg,2009-03-11,2
bloomberg,2009-03-12,1
bloomberg,2009-03-16,2
bloomberg,2009-03-18,2
bloomberg,2009-03-19,1
bloomberg,2009-03-24,1
bloomberg,2009-03-25,2
bloomberg,2009-03-30,3
bloomberg,2009-03-31,2
bloomberg,2009-04-01,1
bloomberg,2009-04-07,1
bloomberg,2009-04-08,2
bloomberg,2009-04-09,1
bloomberg,2009-04-14,1
bloomberg,2009-04-15,1
bloomberg,2009-04-16,3
bloomberg,2009-04-18,1
bloomberg,2009-04-20,2
bloomberg,2009-04-21,2
bloomberg,2009-04-22,3
bloomberg,2009-04-23,3
bloomberg,2009-04-24,2
bloomberg,2009-04-25,1
bloomberg,2009-04-29,1
bloomberg,2009-05-04,2
bloomberg,2009-05-07,1
bloomberg,2009-05-08,1
bloomberg,2009-05-11,3
bloomberg,2009-05-12,1
bloomberg,2009-05-13,1
bloomberg,2009-05-14,2
bloomberg,2009-05-17,1
bloomberg,2009-05-18,1
bloomberg,2009-05-19,3
bloomberg,2009-05-20,1
bloomberg,2009-05-21,2
bloomberg,2009-05-25,1
bloomberg,2009-05-26,1
bloomberg,2009-05-27,2
bloomberg,2009-05-29,1
bloomberg,2009-06-01,3
bloomberg,2009-06-02,2
bloomberg,2009-06-04,2
bloomberg,2009-06-08,1
bloomberg,2009-06-10,2
bloomberg,2009-06-12,1
bloomberg,2009-06-15,4
bloomberg,2009-06-16,1
bloomberg,2009-06-18,1
bloomberg,2009-06-19,3
bloomberg,2009-06-24,2
bloomberg,2009-06-26,1
bloomberg,2009-06-29,2
bloomberg,2009-06-30,2
bloomberg,2009-07-08,1
bloomberg,2009-07-09,1
bloomberg,2009-07-13,2
bloomberg,2009-07-15,1
bloomberg,2009-07-16,2
bloomberg,2009-07-21,1
bloomberg,2009-07-27,3
bloomberg,2009-07-28,1
bloomberg,2009-07-29,1
bloomberg,2009-07-30,1
bloomberg,2009-07-31,2
bloomberg,2009-08-03,1
bloomberg,2009-08-04,2
bloomberg,2009-08-06,1
bloomberg,2009-08-11,3
bloomberg,2009-08-17,1
bloomberg,2009-08-18,2
bloomberg,2009-08-21,1
bloomberg,2009-08-24,2
bloomberg,2009-08-26,1
bloomberg,2009-08-27,1
bloomberg,2009-08-31,2
bloomberg,2009-09-01,1
bloomberg,2009-09-03,1
bloomberg,2009-09-04,2
bloomberg,2009-09-08,1
bloomberg,2009-09-09,4
bloomberg,2009-09-11,3
bloomberg,2009-09-15,4
bloomberg,2009-09-16,1
bloomberg,2009-09-17,5
bloomberg,2009-09-22,1
bloomberg,2009-09-23,3
bloomberg,2009-09-24,1
bloomberg,2009-09-28,1
bloomberg,2009-09-30,2
bloomberg,2009-10-01,2
bloomberg,2009-10-02,1
bloomberg,2009-10-05,3
bloomberg,2009-10-07,3
bloomberg,2009-10-08,1
bloomberg,2009-10-11,1
bloomberg,2009-10-12,1
bloomberg,2009-10-13,1
bloomberg,2009-10-14,1
bloomberg,2009-10-15,4
bloomberg,2009-10-19,2
bloomberg,2009-10-20,1
bloomberg,2009-10-28,1
bloomberg,2009-10-29,2
bloomberg,2009-10-30,2
bloomberg,2009-11-02,2
bloomberg,2009-11-03,5
bloomberg,2009-11-05,4
bloomberg,2009-11-06,1
bloomberg,2009-11-09,1
bloomberg,2009-11-10,1
bloomberg,2009-11-12,2
bloomberg,2009-11-13,1
bloomberg,2009-11-15,2
bloomberg,2009-11-16,2
bloomberg,2009-11-17,2
bloomberg,2009-11-18,2
bloomberg,2009-11-19,2
bloomberg,2009-11-20,2
bloomberg,2009-11-24,1
bloomberg,2009-11-25,2
bloomberg,2009-11-29,2
bloomberg,2009-12-01,3
bloomberg,2009-12-03,4
bloomberg,2009-12-06,3
bloomberg,2009-12-07,3
bloomberg,2009-12-08,1
bloomberg,2009-12-09,3
bloomberg,2009-12-10,4
bloomberg,2009-12-11,2
bloomberg,2009-12-13,2
bloomberg,2009-12-14,3
bloomberg,2009-12-15,1
bloomberg,2009-12-16,1
bloomberg,2009-12-17,6
bloomberg,2009-12-20,3
bloomberg,2009-12-21,5
bloomberg,2009-12-22,1
bloomberg,2009-12-23,2
bloomberg,2009-12-27,2
bloomberg,2009-12-28,2
bloomberg,2009-12-29,2
bloomberg,2009-12-30,2
bloomberg,2009-12-31,1
bloomberg,2010-01-03,3
bloomberg,2010-01-04,3
bloomberg,2010-01-05,2
bloomberg,2010-01-06,1
bloomberg,2010-01-07,5
bloomberg,2010-01-08,1
bloomberg,2010-01-10,3
bloomberg,2010-01-11,8
bloomberg,2010-01-12,2
bloomberg,2010-01-13,3
bloomberg,2010-01-14,4
bloomberg,2010-01-15,1
bloomberg,2010-01-17,1
bloomberg,2010-01-18,5
bloomberg,2010-01-19,8
bloomberg,2010-01-20,4
bloomberg,2010-01-21,4
bloomberg,2010-01-22,2
bloomberg,2010-01-24,4
bloomberg,2010-01-25,5
bloomberg,2010-01-26,4
bloomberg,2010-01-27,7
bloomberg,2010-01-28,7
bloomberg,2010-01-29,2
bloomberg,2010-01-31,3
bloomberg,2010-02-01,4
bloomberg,2010-02-02,3
bloomberg,2010-02-03,6
bloomberg,2010-02-04,8
bloomberg,2010-02-05,1
bloomberg,2010-02-07,5
bloomberg,2010-02-08,8
bloomberg,2010-02-10,8
bloomberg,2010-02-11,6
bloomberg,2010-02-12,1
bloomberg,2010-02-14,2
bloomberg,2010-02-15,7
bloomberg,2010-02-16,8
bloomberg,2010-02-17,5
bloomberg,2010-02-18,8
bloomberg,2010-02-19,3
bloomberg,2010-02-21,5
bloomberg,2010-02-22,8
bloomberg,2010-02-23,8
bloomberg,2010-02-24,4
bloomberg,2010-02-25,9
bloomberg,2010-02-26,4
bloomberg,2010-02-28,7
bloomberg,2010-03-01,8
bloomberg,2010-03-02,4
bloomberg,2010-03-03,8
bloomberg,2010-03-04,10
bloomberg,2010-03-06,1
bloomberg,2010-03-07,5
bloomberg,2010-03-08,1
bloomberg,2010-03-09,1
bloomberg,2010-03-10,1
bloomberg,2010-03-11,2
bloomberg,2010-03-12,1
bloomberg,2010-03-14,1
bloomberg,2010-03-15,1
bloomberg,2010-03-16,1
bloomberg,2010-03-17,1
bloomberg,2010-03-18,1
bloomberg,2010-03-19,1
bloomberg,2010-03-21,1
bloomberg,2010-03-22,2
bloomberg,2010-03-24,1
bloomberg,2010-03-25,1
bloomberg,2010-03-26,1
bloomberg,2010-03-27,1
bloomberg,2010-03-28,1
bloomberg,2010-03-29,1
bloomberg,2010-03-30,1
bloomberg,2010-03-31,2
bloomberg,2010-04-01,2
bloomberg,2010-04-03,1
bloomberg,2010-04-04,4
bloomberg,2010-04-05,1
bloomberg,2010-04-06,3
bloomberg,2010-04-08,2
bloomberg,2010-04-10,2
bloomberg,2010-04-12,3
bloomberg,2010-04-13,2
bloomberg,2010-04-14,2
bloomberg,2010-04-16,5
bloomberg,2010-04-18,12
bloomberg,2010-04-19,69
bloomberg,2010-04-20,101
bloomberg,2010-04-21,81
bloomberg,2010-04-22,48
bloomberg,2010-04-23,423
bloomberg,2010-04-24,7
bloomberg,2010-04-25,31
bloomberg,2010-04-26,481
bloomberg,2010-04-27,568
bloomberg,2010-04-28,55
bloomberg,2010-04-29,1
bloomberg,2010-05-03,1
bloomberg,2010-05-04,1
bloomberg,2010-05-05,1
bloomberg,2010-05-06,1
bloomberg,2010-05-12,1
bloomberg,2010-05-14,1
bloomberg,2010-05-16,1
bloomberg,2010-05-18,4
bloomberg,2010-05-19,1
bloomberg,2010-05-20,4
bloomberg,2010-05-25,1
bloomberg,2010-05-26,2
bloomberg,2010-05-27,2
bloomberg,2010-05-30,1
bloomberg,2010-06-01,5
bloomberg,2010-06-03,2
bloomberg,2010-06-04,3
bloomberg,2010-06-07,1
bloomberg,2010-06-09,2
bloomberg,2010-06-10,6
bloomberg,2010-06-11,2
bloomberg,2010-06-12,4
bloomberg,2010-06-13,154
bloomberg,2010-06-14,518
bloomberg,2010-06-15,548
bloomberg,2010-06-16,529
bloomberg,2010-06-17,561
bloomberg,2010-06-18,452
bloomberg,2010-06-19,74
bloomberg,2010-06-20,156
bloomberg,2010-06-21,507
bloomberg,2010-06-22,599
bloomberg,2010-06-23,588
bloomberg,2010-06-24,605
bloomberg,2010-06-25,457
bloomberg,2010-06-26,89
bloomberg,2010-06-27,153
bloomberg,2010-06-28,527
bloomberg,2010-06-29,538
bloomberg,2010-06-30,611
bloomberg,2010-07-01,548
bloomberg,2010-07-02,413
bloomberg,2010-07-03,65
bloomberg,2010-07-04,127
bloomberg,2010-07-05,392
bloomberg,2010-07-06,521
bloomberg,2010-07-07,522
bloomberg,2010-07-08,563
bloomberg,2010-07-09,415
bloomberg,2010-07-10,74
bloomberg,2010-07-11,130
bloomberg,2010-07-12,522
bloomberg,2010-07-13,547
bloomberg,2010-07-14,548
bloomberg,2010-07-15,618
bloomberg,2010-07-16,437
bloomberg,2010-07-17,92
bloomberg,2010-07-18,133
bloomberg,2010-07-19,496
bloomberg,2010-07-20,561
bloomberg,2010-07-21,533
bloomberg,2010-07-22,613
bloomberg,2010-07-23,456
bloomberg,2010-07-24,62
bloomberg,2010-07-25,130
bloomberg,2010-07-26,502
bloomberg,2010-07-27,556
bloomberg,2010-07-28,570
bloomberg,2010-07-29,629
bloomberg,2010-07-30,514
bloomberg,2010-07-31,72
bloomberg,2010-08-01,124
bloomberg,2010-08-02,493
bloomberg,2010-08-03,57
bloomberg,2010-08-04,5
bloomberg,2010-08-05,25
bloomberg,2010-08-06,379
bloomberg,2010-08-07,7
bloomberg,2010-08-08,1
bloomberg,2010-08-11,5
bloomberg,2010-08-12,2
bloomberg,2010-08-13,4
bloomberg,2010-08-14,1
bloomberg,2010-08-16,1
bloomberg,2010-08-17,3
bloomberg,2010-08-18,2
bloomberg,2010-08-19,3
bloomberg,2010-08-20,1
bloomberg,2010-08-21,2
bloomberg,2010-08-23,1
bloomberg,2010-08-24,4
bloomberg,2010-08-26,5
bloomberg,2010-08-27,4
bloomberg,2010-08-29,1
bloomberg,2010-08-30,2
bloomberg,2010-08-31,3
bloomberg,2010-09-01,3
bloomberg,2010-09-02,1
bloomberg,2010-09-03,4
bloomberg,2010-09-04,1
bloomberg,2010-09-05,3
bloomberg,2010-09-06,9
bloomberg,2010-09-07,133
bloomberg,2010-09-08,4
bloomberg,2010-09-09,7
bloomberg,2010-09-10,4
bloomberg,2010-09-11,1
bloomberg,2010-09-12,2
bloomberg,2010-09-14,1
bloomberg,2010-09-15,4
bloomberg,2010-09-16,4
bloomberg,2010-09-17,2
bloomberg,2010-09-18,3
bloomberg,2010-09-19,28
bloomberg,2010-09-20,466
bloomberg,2010-09-21,558
bloomberg,2010-09-22,523
bloomberg,2010-09-23,549
bloomberg,2010-09-24,459
bloomberg,2010-09-25,53
bloomberg,2010-09-26,160
bloomberg,2010-09-27,489
bloomberg,2010-09-28,578
bloomberg,2010-09-29,631
bloomberg,2010-09-30,608
bloomberg,2010-10-01,427
bloomberg,2010-10-02,72
bloomberg,2010-10-03,154
bloomberg,2010-10-04,514
bloomberg,2010-10-05,528
bloomberg,2010-10-06,576
bloomberg,2010-10-07,567
bloomberg,2010-10-08,445
bloomberg,2010-10-09,92
bloomberg,2010-10-10,173
bloomberg,2010-10-11,450
bloomberg,2010-10-12,547
bloomberg,2010-10-13,591
bloomberg,2010-10-14,582
bloomberg,2010-10-15,475
bloomberg,2010-10-16,80
bloomberg,2010-10-17,140
bloomberg,2010-10-18,547
bloomberg,2010-10-19,610
bloomberg,2010-10-20,604
bloomberg,2010-10-21,632
bloomberg,2010-10-22,445
bloomberg,2010-10-23,69
bloomberg,2010-10-24,139
bloomberg,2010-10-25,526
bloomberg,2010-10-26,644
bloomberg,2010-10-27,581
bloomberg,2010-10-28,641
bloomberg,2010-10-29,479
bloomberg,2010-10-30,75
bloomberg,2010-10-31,127
bloomberg,2010-11-01,491
bloomberg,2010-11-02,520
bloomberg,2010-11-03,617
bloomberg,2010-11-04,613
bloomberg,2010-11-05,456
bloomberg,2010-11-06,83
bloomberg,2010-11-07,145
bloomberg,2010-11-08,514
bloomberg,2010-11-09,613
bloomberg,2010-11-10,605
bloomberg,2010-11-11,522
bloomberg,2010-11-12,444
bloomberg,2010-11-13,75
bloomberg,2010-11-14,39
bloomberg,2010-11-15,479
bloomberg,2010-11-16,591
bloomberg,2010-11-17,436
bloomberg,2010-11-18,419
bloomberg,2010-11-19,337
bloomberg,2010-11-20,51
bloomberg,2010-11-21,74
bloomberg,2010-11-22,363
bloomberg,2010-11-23,422
bloomberg,2010-11-24,393
bloomberg,2010-11-25,283
bloomberg,2010-11-26,277
bloomberg,2010-11-27,46
bloomberg,2010-11-28,111
bloomberg,2010-11-29,367
bloomberg,2010-11-30,423
bloomberg,2010-12-01,404
bloomberg,2010-12-02,414
bloomberg,2010-12-03,355
bloomberg,2010-12-04,51
bloomberg,2010-12-05,98
bloomberg,2010-12-06,392
bloomberg,2010-12-07,411
bloomberg,2010-12-08,407
bloomberg,2010-12-09,402
bloomberg,2010-12-10,363
bloomberg,2010-12-11,53
bloomberg,2010-12-12,89
bloomberg,2010-12-13,355
bloomberg,2010-12-14,389
bloomberg,2010-12-15,395
bloomberg,2010-12-16,377
bloomberg,2010-12-17,355
bloomberg,2010-12-18,53
bloomberg,2010-12-19,89
bloomberg,2010-12-20,351
bloomberg,2010-12-21,369
bloomberg,2010-12-22,349
bloomberg,2010-12-23,313
bloomberg,2010-12-24,162
bloomberg,2010-12-25,21
bloomberg,2010-12-26,58
bloomberg,2010-12-27,214
bloomberg,2010-12-28,232
bloomberg,2010-12-29,236
bloomberg,2010-12-30,224
bloomberg,2010-12-31,32
bloomberg,2011-01-02,1
bloomberg,2011-01-03,3
bloomberg,2011-01-05,5
bloomberg,2011-01-07,2
bloomberg,2011-01-08,1
bloomberg,2011-01-09,1
bloomberg,2011-01-10,1
bloomberg,2011-01-11,3
bloomberg,2011-01-12,4
bloomberg,2011-01-13,5
bloomberg,2011-01-14,3
bloomberg,2011-01-17,1
bloomberg,2011-01-19,1
bloomberg,2011-01-20,1
bloomberg,2011-01-21,2
bloomberg,2011-01-22,1
bloomberg,2011-01-24,2
bloomberg,2011-01-25,1
bloomberg,2011-01-26,5
bloomberg,2011-01-27,23
bloomberg,2011-01-28,173
bloomberg,2011-01-29,1
bloomberg,2011-01-30,1
bloomberg,2011-01-31,5
bloomberg,2011-02-01,20
bloomberg,2011-02-02,294
bloomberg,2011-02-03,313
bloomberg,2011-02-04,252
bloomberg,2011-02-05,40
bloomberg,2011-02-06,68
bloomberg,2011-02-07,267
bloomberg,2011-02-08,311
bloomberg,2011-02-09,307
bloomberg,2011-02-10,348
bloomberg,2011-02-11,495
bloomberg,2011-02-12,91
bloomberg,2011-02-13,154
